PID	Code	Description	Units	UnitType	CollectedOn
990	6333	OTUNR-3	5	AC	2024-12-04
992	6135	WPUNR-5	1	AC	2024-12-04
992	6135	WPUNR-5	24	AC	2024-12-04
992	6235	HWUNR-5	104	AC	2024-12-04
992	6335	OTUNR-5	78	AC	2024-12-04
998	6325	OTUN-5	28	AC	2024-12-04
1002	6225	HWUN-5	1	AC	2024-12-04
1002	6225	HWUN-5	57	AC	2024-12-04
1003	6226	HWUN-6	26	AC	2024-12-04
1009	6514	FARMR-4	1	AC	2024-12-04
1009	6514	FARMR-4	26	AC	2024-12-04
1009	6134	WPUNR-4	14	AC	2024-12-04
1009	6334	OTUNR-4	34	AC	2024-12-04
1018	6236	HWUNR-6	0	AC	2024-12-04
1018	6236	HWUNR-6	11	AC	2024-12-04
1022	6810	WETLANDS-REC	10	AC	2024-12-04
1022	6514	FARMR-4	20	AC	2024-12-04
1022	6234	HWUNR-4	10	AC	2024-12-04
1022	6134	WPUNR-4	9	AC	2024-12-04
1026	6516	FARMR-6	10	AC	2024-12-04
1026	6236	HWUNR-6	2	AC	2024-12-04
1027	6224	HWUN-4	1	AC	2024-12-04
1027	6224	HWUN-4	175	AC	2024-12-04
1027	6124	WPUN-4	30	AC	2024-12-04
1027	6324	OTUN-4	35	AC	2024-12-04
1030	6504	FARM-4	12	AC	2024-12-04
1031	6233	HWUNR-3	10	AC	2024-12-04
1033	6124	WPUN-4	25	AC	2024-12-04
1033	6224	HWUN-4	1	AC	2024-12-04
1034	6114	WPMR-4	17	AC	2024-12-04
1034	6214	HWMR-4	13	AC	2024-12-04
1034	6314	OTMR-4	5	AC	2024-12-04
1039	6224	HWUN-4	0	AC	2024-12-04
1039	6224	HWUN-4	0	AC	2024-12-04
1039	6224	HWUN-4	80	AC	2024-12-04
1052	6224	HWUN-4	21	AC	2024-12-04
1053	6515	FARMR-5	21	AC	2024-12-04
1053	6215	HWMR-5	89	AC	2024-12-04
1053	6315	OTMR-5	77	AC	2024-12-04
1053	6112	WPMR-2	46	AC	2024-12-04
1054	6516	FARMR-6	30	AC	2024-12-04
1054	6216	HWMR-6	52	AC	2024-12-04
1055	6124	WPUN-4	1	AC	2024-12-04
1055	6124	WPUN-4	112	AC	2024-12-04
1057	6224	HWUN-4	1	AC	2024-12-04
1057	6224	HWUN-4	12	AC	2024-12-04
1057	6324	OTUN-4	15	AC	2024-12-04
1058	6226	HWUN-6	0	AC	2024-12-04
1058	6226	HWUN-6	25	AC	2024-12-04
1060	6335	OTUNR-5	10	AC	2024-12-04
1060	6235	HWUNR-5	26	AC	2024-12-04
1060	6515	FARMR-5	6	AC	2024-12-04
1064	6226	HWUN-6	28	AC	2024-12-04
1064	6506	FARM-6	11	AC	2024-12-04
1064	6326	OTUN-6	7	AC	2024-12-04
1064	6800	WETLANDS	1	AC	2024-12-04
1064	6126	WPUN-6	5	AC	2024-12-04
1068	6234	HWUNR-4	18	AC	2024-12-04
1068	6514	FARMR-4	17	AC	2024-12-04
1068	6334	OTUNR-4	13	AC	2024-12-04
1069	6515	FARMR-5	1	AC	2024-12-04
1069	6515	FARMR-5	3	AC	2024-12-04
1069	6335	OTUNR-5	7	AC	2024-12-04
1076	6515	FARMR-5	1	AC	2024-12-04
1076	6515	FARMR-5	3	AC	2024-12-04
1076	6135	WPUNR-5	30	AC	2024-12-04
1077	6234	HWUNR-4	1	AC	2024-12-04
1077	6234	HWUNR-4	524	AC	2024-12-04
1079	6133	WPUNR-3	1	AC	2024-12-04
1079	6326	OTUN-6	0	AC	2024-12-04
1081	6133	WPUNR-3	0	AC	2024-12-04
1083	6333	OTUNR-3	1	AC	2024-12-04
1083	6333	OTUNR-3	115	AC	2024-12-04
1084	6133	WPUNR-3	0	AC	2024-12-04
1085	6124	WPUN-4	1	AC	2024-12-04
1085	6224	HWUN-4	7	AC	2024-12-04
1085	6124	WPUN-4	5	AC	2024-12-04
1096	6516	FARMR-6	24	AC	2024-12-04
1096	6236	HWUNR-6	52	AC	2024-12-04
1097	6234	HWUNR-4	1	AC	2024-12-04
1097	6234	HWUNR-4	52	AC	2024-12-04
1097	6333	OTUNR-3	16	AC	2024-12-04
1097	6133	WPUNR-3	26	AC	2024-12-04
1103	6335	OTUNR-5	1	AC	2024-12-04
1103	6335	OTUNR-5	22	AC	2024-12-04
1103	6135	WPUNR-5	15	AC	2024-12-04
1104	6515	FARMR-5	0	AC	2024-12-04
1104	6515	FARMR-5	13	AC	2024-12-04
1104	6135	WPUNR-5	7	AC	2024-12-04
1104	6810	WETLANDS-REC	10	AC	2024-12-04
1104	6235	HWUNR-5	8	AC	2024-12-04
1105	6504	FARM-4	0	AC	2024-12-04
1105	6324	OTUN-4	10	AC	2024-12-04
1105	6504	FARM-4	26	AC	2024-12-04
1105	6800	WETLANDS	3	AC	2024-12-04
1109	6334	OTUNR-4	44	AC	2024-12-04
1109	6514	FARMR-4	8	AC	2024-12-04
1113	6134	WPUNR-4	38	AC	2024-12-04
1113	6810	WETLANDS-REC	21	AC	2024-12-04
1113	6514	FARMR-4	7	AC	2024-12-04
1120	6700	UNPRODUCTIVE	11	AC	2024-12-04
1120	6124	WPUN-4	2	AC	2024-12-04
1120	6800	WETLANDS	10	AC	2024-12-04
1120	6700	UNPRODUCTIVE	0	AC	2024-12-04
1127	6515	FARMR-5	21	AC	2024-12-04
1127	6335	OTUNR-5	4	AC	2024-12-04
1127	6810	WETLANDS-REC	1	AC	2024-12-04
1129	6335	OTUNR-5	1	AC	2024-12-04
1129	6335	OTUNR-5	2	AC	2024-12-04
1131	6235	HWUNR-5	63	AC	2024-12-04
1132	6516	FARMR-6	4	AC	2024-12-04
1132	6136	WPUNR-6	34	AC	2024-12-04
1132	6236	HWUNR-6	48	AC	2024-12-04
1144	6515	FARMR-5	2	AC	2024-12-04
1144	6135	WPUNR-5	12	AC	2024-12-04
1149	6505	FARM-5	6	AC	2024-12-04
1149	6325	OTUN-5	6	AC	2024-12-04
1149	6800	WETLANDS	10	AC	2024-12-04
1152	6334	OTUNR-4	1	AC	2024-12-04
1152	6334	OTUNR-4	23	AC	2024-12-04
1152	6134	WPUNR-4	30	AC	2024-12-04
1152	6234	HWUNR-4	5	AC	2024-12-04
1155	6235	HWUNR-5	1	AC	2024-12-04
1155	6235	HWUNR-5	16	AC	2024-12-04
1156	6224	HWUN-4	13	AC	2024-12-04
1157	6224	HWUN-4	9	AC	2024-12-04
1158	6135	WPUNR-5	1	AC	2024-12-04
1158	6135	WPUNR-5	29	AC	2024-12-04
1158	6235	HWUNR-5	6	AC	2024-12-04
1158	6810	WETLANDS-REC	1	AC	2024-12-04
1163	6235	HWUNR-5	1	AC	2024-12-04
1163	6235	HWUNR-5	54	AC	2024-12-04
1164	6335	OTUNR-5	1	AC	2024-12-04
1164	6810	WETLANDS-REC	86	AC	2024-12-04
1164	6335	OTUNR-5	1324	AC	2024-12-04
1164	6235	HWUNR-5	665	AC	2024-12-04
1169	6225	HWUN-5	12	AC	2024-12-04
1170	6225	HWUN-5	26	AC	2024-12-04
1171	6225	HWUN-5	1	AC	2024-12-04
1171	6225	HWUN-5	13	AC	2024-12-04
1173	6324	OTUN-4	9	AC	2024-12-04
1173	6224	HWUN-4	54	AC	2024-12-04
1177	6232	HWUNR-2	1	AC	2024-12-04
1177	6232	HWUNR-2	285	AC	2024-12-04
1186	6233	HWUNR-3	1	AC	2024-12-04
1186	6233	HWUNR-3	22	AC	2024-12-04
1187	6225	HWUN-5	1	AC	2024-12-04
1187	6225	HWUN-5	5	AC	2024-12-04
1188	6203	HWM-3	96	AC	2024-12-04
1189	6134	WPUNR-4	1	AC	2024-12-04
1189	6134	WPUNR-4	29	AC	2024-12-04
1189	6234	HWUNR-4	30	AC	2024-12-04
1189	6334	OTUNR-4	35	AC	2024-12-04
1214	6334	OTUNR-4	5	AC	2024-12-04
1215	6134	WPUNR-4	1	AC	2024-12-04
1215	6134	WPUNR-4	40	AC	2024-12-04
1222	6135	WPUNR-5	10	AC	2024-12-04
1222	6235	HWUNR-5	1	AC	2024-12-04
1223	6135	WPUNR-5	1	AC	2024-12-04
1223	6135	WPUNR-5	11	AC	2024-12-04
1223	6235	HWUNR-5	39	AC	2024-12-04
1223	6335	OTUNR-5	32	AC	2024-12-04
1223	6515	FARMR-5	6	AC	2024-12-04
1225	6325	OTUN-5	11	AC	2024-12-04
1226	6224	HWUN-4	42	AC	2024-12-04
1227	6810	WETLANDS-REC	7	AC	2024-12-04
1227	6514	FARMR-4	5	AC	2024-12-04
1227	6334	OTUNR-4	49	AC	2024-12-04
1228	6224	HWUN-4	35	AC	2024-12-04
1228	6324	OTUN-4	33	AC	2024-12-04
1229	6234	HWUNR-4	10	AC	2024-12-04
1230	6225	HWUN-5	25	AC	2024-12-04
1230	6325	OTUN-5	12	AC	2024-12-04
1243	6235	HWUNR-5	1	AC	2024-12-04
1243	6135	WPUNR-5	9	AC	2024-12-04
1243	6335	OTUNR-5	1	AC	2024-12-04
1243	6515	FARMR-5	6	AC	2024-12-04
1243	6810	WETLANDS-REC	6	AC	2024-12-04
1243	6710	UNPRODUCTIVE-REC	6	AC	2024-12-04
1247	6516	FARMR-6	8	AC	2024-12-04
1247	6136	WPUNR-6	8	AC	2024-12-04
1247	6336	OTUNR-6	5	AC	2024-12-04
1248	6235	HWUNR-5	13	AC	2024-12-04
1251	6505	FARM-5	10	AC	2024-12-04
1263	6810	WETLANDS-REC	6	AC	2024-12-04
1263	6710	UNPRODUCTIVE-REC	6	AC	2024-12-04
1263	6516	FARMR-6	5	AC	2024-12-04
1263	6136	WPUNR-6	11	AC	2024-12-04
1263	6236	HWUNR-6	0	AC	2024-12-04
1263	6336	OTUNR-6	5	AC	2024-12-04
1263	6236	HWUNR-6	2	AC	2024-12-04
1269	6206	HWM-6	15	AC	2024-12-04
1269	6700	UNPRODUCTIVE	4	AC	2024-12-04
1272	6134	WPUNR-4	12	AC	2024-12-04
1272	6234	HWUNR-4	11	AC	2024-12-04
1272	6334	OTUNR-4	43	AC	2024-12-04
1277	6334	OTUNR-4	1	AC	2024-12-04
1277	6334	OTUNR-4	47	AC	2024-12-04
1277	6134	WPUNR-4	101	AC	2024-12-04
1289	6212	HWMR-2	88	AC	2024-12-04
1291	6332	OTUNR-2	12	AC	2024-12-04
1298	6236	HWUNR-6	28	AC	2024-12-04
1304	6233	HWUNR-3	339	AC	2024-12-04
1309	6235	HWUNR-5	79	AC	2024-12-04
1313	6224	HWUN-4	17	AC	2024-12-04
1319	6225	HWUN-5	0	AC	2024-12-04
1319	6225	HWUN-5	19	AC	2024-12-04
1326	6235	HWUNR-5	20	AC	2024-12-04
1332	6232	HWUNR-2	55	AC	2024-12-04
1333	6226	HWUN-6	10	AC	2024-12-04
1333	6326	OTUN-6	10	AC	2024-12-04
1336	6133	WPUNR-3	17	AC	2024-12-04
1336	6233	HWUNR-3	76	AC	2024-12-04
1336	6333	OTUNR-3	24	AC	2024-12-04
1336	6810	WETLANDS-REC	28	AC	2024-12-04
1337	6234	HWUNR-4	1	AC	2024-12-04
1337	6234	HWUNR-4	12	AC	2024-12-04
1338	6334	OTUNR-4	3	AC	2024-12-04
1344	6213	HWMR-3	244	AC	2024-12-04
1344	6313	OTMR-3	45	AC	2024-12-04
1344	6810	WETLANDS-REC	4	AC	2024-12-04
1352	6314	OTMR-4	56	AC	2024-12-04
1352	6114	WPMR-4	2	AC	2024-12-04
1352	6514	FARMR-4	4	AC	2024-12-04
1352	6810	WETLANDS-REC	1	AC	2024-12-04
1352	6710	UNPRODUCTIVE-REC	1	AC	2024-12-04
1353	6124	WPUN-4	10	AC	2024-12-04
1354	6516	FARMR-6	7	AC	2024-12-04
1355	6103	WPM-3	1	AC	2024-12-04
1355	6103	WPM-3	56	AC	2024-12-04
1355	6303	OTM-3	20	AC	2024-12-04
1355	6203	HWM-3	61	AC	2024-12-04
1356	6214	HWMR-4	1	AC	2024-12-04
1356	6314	OTMR-4	515	AC	2024-12-04
1356	6214	HWMR-4	1334	AC	2024-12-04
1356	6810	WETLANDS-REC	21	AC	2024-12-04
1358	6234	HWUNR-4	31	AC	2024-12-04
1360	6133	WPUNR-3	1	AC	2024-12-04
1360	6133	WPUNR-3	116	AC	2024-12-04
1361	6232	HWUNR-2	1	AC	2024-12-04
1361	6232	HWUNR-2	62	AC	2024-12-04
1362	6202	HWM-2	120	AC	2024-12-04
1363	6203	HWM-3	110	AC	2024-12-04
1364	6225	HWUN-5	1	AC	2024-12-04
1364	6225	HWUN-5	17	AC	2024-12-04
1365	6235	HWUNR-5	1	AC	2024-12-04
1365	6235	HWUNR-5	1	AC	2024-12-04
1366	6215	HWMR-5	1	AC	2024-12-04
1366	6215	HWMR-5	40	AC	2024-12-04
1373	6515	FARMR-5	2	AC	2024-12-04
1373	6315	OTMR-5	33	AC	2024-12-04
1373	6215	HWMR-5	6	AC	2024-12-04
1375	6503	FARM-3	20	AC	2024-12-04
1375	6123	WPUN-3	23	AC	2024-12-04
1375	6223	HWUN-3	442	AC	2024-12-04
1375	6323	OTUN-3	210	AC	2024-12-04
1379	6235	HWUNR-5	65	AC	2024-12-04
1384	6506	FARM-6	31	AC	2024-12-04
1384	6126	WPUN-6	10	AC	2024-12-04
1384	6226	HWUN-6	15	AC	2024-12-04
1385	6019	FARM SP RC	0	AC	2024-12-04
1385	6019	FARM SP RC	9	AC	2024-12-04
1386	6506	FARM-6	45	AC	2024-12-04
1387	6234	HWUNR-4	1	AC	2024-12-04
1387	6234	HWUNR-4	23	AC	2024-12-04
1387	6810	WETLANDS-REC	2	AC	2024-12-04
1387	6514	FARMR-4	5	AC	2024-12-04
1388	6222	HWUN-2	1	AC	2024-12-04
1388	6222	HWUN-2	134	AC	2024-12-04
1394	6213	HWMR-3	378	AC	2024-12-04
1399	6233	HWUNR-3	70	AC	2024-12-04
1400	6232	HWUNR-2	131	AC	2024-12-04
1401	6323	OTUN-3	12	AC	2024-12-04
1401	6223	HWUN-3	44	AC	2024-12-04
1402	6325	OTUN-5	1	AC	2024-12-04
1402	6325	OTUN-5	12	AC	2024-12-04
1402	6225	HWUN-5	10	AC	2024-12-04
1402	6505	FARM-5	6	AC	2024-12-04
1403	6810	WETLANDS-REC	3	AC	2024-12-04
1406	6126	WPUN-6	22	AC	2024-12-04
1406	6226	HWUN-6	52	AC	2024-12-04
1410	6516	FARMR-6	0	AC	2024-12-04
1410	6336	OTUNR-6	3	AC	2024-12-04
1410	6236	HWUNR-6	3	AC	2024-12-04
1410	6516	FARMR-6	3	AC	2024-12-04
1412	6505	FARM-5	3	AC	2024-12-04
1412	6225	HWUN-5	9	AC	2024-12-04
1412	6125	WPUN-5	10	AC	2024-12-04
1413	6221	HWUN-1	35	AC	2024-12-04
1417	6234	HWUNR-4	274	AC	2024-12-04
1417	6710	UNPRODUCTIVE-REC	40	AC	2024-12-04
1443	6215	HWMR-5	1	AC	2024-12-04
1443	6215	HWMR-5	82	AC	2024-12-04
1443	6315	OTMR-5	9	AC	2024-12-04
1443	6115	WPMR-5	31	AC	2024-12-04
1443	6710	UNPRODUCTIVE-REC	1	AC	2024-12-04
1446	6104	WPM-4	1	AC	2024-12-04
1446	6104	WPM-4	13	AC	2024-12-04
1446	6800	WETLANDS	33	AC	2024-12-04
1446	6324	OTUN-4	71	AC	2024-12-04
1446	6204	HWM-4	124	AC	2024-12-04
1446	6030	WATERFR FF	1400	FF	2024-12-04
1447	6205	HWM-5	0	AC	2024-12-04
1447	6205	HWM-5	32	AC	2024-12-04
1447	6800	WETLANDS	7	AC	2024-12-04
1447	6030	WATERFR FF	740	FF	2024-12-04
1448	6225	HWUN-5	11	AC	2024-12-04
1448	6800	WETLANDS	2	AC	2024-12-04
1448	6030	WATERFR FF	800	FF	2024-12-04
1462	6506	FARM-6	45	AC	2024-12-04
1462	6226	HWUN-6	23	AC	2024-12-04
1464	6232	HWUNR-2	1	AC	2024-12-04
1464	6232	HWUNR-2	14	AC	2024-12-04
1464	6332	OTUNR-2	18	AC	2024-12-04
1466	6335	OTUNR-5	1	AC	2024-12-04
1466	6335	OTUNR-5	68	AC	2024-12-04
1466	6235	HWUNR-5	10	AC	2024-12-04
1468	6234	HWUNR-4	28	AC	2024-12-04
1473	6335	OTUNR-5	7	AC	2024-12-04
1473	6225	HWUN-5	7	AC	2024-12-04
1475	6335	OTUNR-5	6	AC	2024-12-04
1475	6225	HWUN-5	5	AC	2024-12-04
1486	6325	OTUN-5	34	AC	2024-12-04
1486	6225	HWUN-5	36	AC	2024-12-04
1488	6233	HWUNR-3	1	AC	2024-12-04
1488	6233	HWUNR-3	201	AC	2024-12-04
1488	6333	OTUNR-3	20	AC	2024-12-04
1489	6213	HWMR-3	1	AC	2024-12-04
1489	6213	HWMR-3	206	AC	2024-12-04
100000	6225	HWUN-5	0	AC	2024-12-04
100000	6225	HWUN-5	14	AC	2024-12-04
100021	6515	FARMR-5	19	AC	2024-12-04
100021	6315	OTMR-5	31	AC	2024-12-04
100021	6215	HWMR-5	54	AC	2024-12-04
100021	6115	WPMR-5	47	AC	2024-12-04
100041	6506	FARM-6	1	AC	2024-12-04
100041	6506	FARM-6	15	AC	2024-12-04
100041	6226	HWUN-6	20	AC	2024-12-04
100103	6236	HWUNR-6	0	AC	2024-12-04
100103	6236	HWUNR-6	18	AC	2024-12-04
100122	6226	HWUN-6	12	AC	2024-12-04
100122	6506	FARM-6	12	AC	2024-12-04
100202	6312	OTMR-2	104	AC	2024-12-04
100202	6212	HWMR-2	621	AC	2024-12-04
100202	6810	WETLANDS-REC	26	AC	2024-12-04
100202	6312	OTMR-2	1	AC	2024-12-04
100243	6125	WPUN-5	7	AC	2024-12-04
100243	6700	UNPRODUCTIVE	2	AC	2024-12-04
100243	6125	WPUN-5	0	AC	2024-12-04
100262	6506	FARM-6	13	AC	2024-12-04
100264	6334	OTUNR-4	1	AC	2024-12-04
100264	6334	OTUNR-4	10	AC	2024-12-04
100322	6514	FARMR-4	1	AC	2024-12-04
100322	6514	FARMR-4	13	AC	2024-12-04
100361	6204	HWM-4	95	AC	2024-12-04
100401	6114	WPMR-4	1	AC	2024-12-04
100401	6114	WPMR-4	29	AC	2024-12-04
100401	6214	HWMR-4	7	AC	2024-12-04
100602	6136	WPUNR-6	14	AC	2024-12-04
100622	6126	WPUN-6	8	AC	2024-12-04
100662	6326	OTUN-6	1	AC	2024-12-04
100662	6326	OTUN-6	43	AC	2024-12-04
100742	6506	FARM-6	0	AC	2024-12-04
100742	6126	WPUN-6	14	AC	2024-12-04
100822	6515	FARMR-5	0	AC	2024-12-04
100822	6515	FARMR-5	19	AC	2024-12-04
100822	6030	WATERFR FF	1060	FF	2024-12-04
101143	6124	WPUN-4	10	AC	2024-12-04
101143	6324	OTUN-4	12	AC	2024-12-04
101183	6324	OTUN-4	8	AC	2024-12-04
101202	6325	OTUN-5	1	AC	2024-12-04
101202	6325	OTUN-5	8	AC	2024-12-04
101203	6506	FARM-6	1	AC	2024-12-04
101203	6506	FARM-6	14	AC	2024-12-04
101204	6506	FARM-6	1	AC	2024-12-04
101204	6506	FARM-6	4	AC	2024-12-04
101204	6126	WPUN-6	2	AC	2024-12-04
101205	6126	WPUN-6	1	AC	2024-12-04
101205	6126	WPUN-6	2	AC	2024-12-04
101205	6506	FARM-6	4	AC	2024-12-04
101224	6017	FARM W/SPI	10	AC	2024-12-04
101224	6800	WETLANDS	5	AC	2024-12-04
101262	6700	UNPRODUCTIVE	11	AC	2024-12-04
101282	6505	FARM-5	31	AC	2024-12-04
101282	6225	HWUN-5	17	AC	2024-12-04
101325	6800	WETLANDS	4	AC	2024-12-04
101325	6125	WPUN-5	3	AC	2024-12-04
101325	6225	HWUN-5	31	AC	2024-12-04
101325	6305	OTM-5	12	AC	2024-12-04
101342	6506	FARM-6	3	AC	2024-12-04
101342	6700	UNPRODUCTIVE	1	AC	2024-12-04
101342	6030	WATERFR FF	431	FF	2024-12-04
101362	6234	HWUNR-4	14	AC	2024-12-04
101382	6234	HWUNR-4	11	AC	2024-12-04
101442	6515	FARMR-5	0	AC	2024-12-04
101442	6515	FARMR-5	18	AC	2024-12-04
101442	6335	OTUNR-5	13	AC	2024-12-04
101442	6710	UNPRODUCTIVE-REC	3	AC	2024-12-04
101523	6334	OTUNR-4	27	AC	2024-12-04
101542	6135	WPUNR-5	16	AC	2024-12-04
101542	6235	HWUNR-5	7	AC	2024-12-04
101542	6515	FARMR-5	77	AC	2024-12-04
101542	6030	WATERFR FF	3240	FF	2024-12-04
101542	6810	WETLANDS-REC	3	AC	2024-12-04
101562	6505	FARM-5	13	AC	2024-12-04
101562	6505	FARM-5	0	AC	2024-12-04
101562	6205	HWM-5	196	AC	2024-12-04
101562	6800	WETLANDS	2	AC	2024-12-04
101582	6233	HWUNR-3	54	AC	2024-12-04
101622	6504	FARM-4	6	AC	2024-12-04
101622	6224	HWUN-4	6	AC	2024-12-04
102644	6133	WPUNR-3	0	AC	2024-12-04
102644	6233	HWUNR-3	10	AC	2024-12-04
102644	6333	OTUNR-3	7	AC	2024-12-04
102644	6133	WPUNR-3	6	AC	2024-12-04
102691	6516	FARMR-6	4	AC	2024-12-04
102691	6236	HWUNR-6	22	AC	2024-12-04
102692	6134	WPUNR-4	11	AC	2024-12-04
102692	6134	WPUNR-4	0	AC	2024-12-04
102736	6236	HWUNR-6	1	AC	2024-12-04
102736	6516	FARMR-6	10	AC	2024-12-04
102759	6514	FARMR-4	2	AC	2024-12-04
102759	6030	WATERFR FF	250	FF	2024-12-04
102763	6135	WPUNR-5	1	AC	2024-12-04
102763	6135	WPUNR-5	15	AC	2024-12-04
102763	6235	HWUNR-5	17	AC	2024-12-04
102763	6135	WPUNR-5	1	AC	2024-12-04
102770	6515	FARMR-5	5	AC	2024-12-04
102770	6235	HWUNR-5	31	AC	2024-12-04
102772	6232	HWUNR-2	1	AC	2024-12-04
102772	6232	HWUNR-2	221	AC	2024-12-04
102772	6332	OTUNR-2	110	AC	2024-12-04
102772	6710	UNPRODUCTIVE-REC	35	AC	2024-12-04
102772	6810	WETLANDS-REC	5	AC	2024-12-04
102834	6504	FARM-4	15	AC	2024-12-04
102834	6124	WPUN-4	15	AC	2024-12-04
102874	6324	OTUN-4	1	AC	2024-12-04
102874	6324	OTUN-4	53	AC	2024-12-04
102874	6224	HWUN-4	17	AC	2024-12-04
102875	6115	WPMR-5	1	AC	2024-12-04
102875	6115	WPMR-5	1	AC	2024-12-04
102875	6215	HWMR-5	293	AC	2024-12-04
102875	6315	OTMR-5	70	AC	2024-12-04
102875	6710	UNPRODUCTIVE-REC	5	AC	2024-12-04
102876	6334	OTUNR-4	1	AC	2024-12-04
102876	6334	OTUNR-4	21	AC	2024-12-04
102897	6504	FARM-4	3	AC	2024-12-04
102916	6505	FARM-5	1	AC	2024-12-04
102916	6505	FARM-5	61	AC	2024-12-04
102976	6104	WPM-4	37	AC	2024-12-04
102976	6304	OTM-4	34	AC	2024-12-04
102976	6204	HWM-4	24	AC	2024-12-04
102996	6234	HWUNR-4	1	AC	2024-12-04
102996	6234	HWUNR-4	49	AC	2024-12-04
102996	6134	WPUNR-4	58	AC	2024-12-04
103016	6516	FARMR-6	57	AC	2024-12-04
103016	6030	WATERFR FF	4000	FF	2024-12-04
103036	6335	OTUNR-5	1	AC	2024-12-04
103036	6335	OTUNR-5	46	AC	2024-12-04
103079	6334	OTUNR-4	1	AC	2024-12-04
103079	6334	OTUNR-4	59	AC	2024-12-04
103097	6124	WPUN-4	1	AC	2024-12-04
103097	6124	WPUN-4	15	AC	2024-12-04
103097	6323	OTUN-3	15	AC	2024-12-04
103157	6515	FARMR-5	1	AC	2024-12-04
103157	6515	FARMR-5	13	AC	2024-12-04
103222	6133	WPUNR-3	2	AC	2024-12-04
103222	6133	WPUNR-3	10	AC	2024-12-04
103254	6324	OTUN-4	4	AC	2024-12-04
103255	6515	FARMR-5	1	AC	2024-12-04
103255	6515	FARMR-5	4	AC	2024-12-04
103257	6315	OTMR-5	1	AC	2024-12-04
103257	6315	OTMR-5	11	AC	2024-12-04
